casename,area_of_law
2003_SGHC_72.pdf,"['companies', 'contract', 'evidence']"
2003_SGHC_73.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort', 'land']"
2003_SGHC_74.pdf,"['criminal law', 'evidence', 'tort', 'immigration']"
2003_SGHC_75.pdf,"['evidence', 'equity']"
2003_SGHC_76.pdf,"['evidence', 'administrative law', 'family law']"
2003_SGHC_77.pdf,['criminal procedure and sentencing']
2003_SGHC_78.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'damages', 'tort', 'land']"
2003_SGHC_79.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'damages', 'tort', 'land']"
2003_SGHC_8.pdf,"['companies', 'words and phrases', 'evidence']"
2003_SGHC_80.pdf,"['admiralty and shipping', 'insurance', 'contract', 'evidence', 'damages', 'land', 'confidence']"
2003_SGHC_81.pdf,"['companies', 'revenue law', 'contract', 'evidence', 'trusts', 'equity', 'land']"
2003_SGHC_82.pdf,"['criminal procedure and sentencing', 'evidence', 'road traffic']"
2003_SGHC_83.pdf,['companies']
2003_SGHC_84.pdf,"['civil procedure', 'companies', 'land', 'agency']"
2003_SGHC_85.pdf,"['civil procedure', 'companies', 'land']"
2003_SGHC_86.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'tort', 'land', 'agency']"
2003_SGHC_87.pdf,"['criminal law', 'evidence', 'land']"
2003_SGHC_88.pdf,['criminal procedure and sentencing']
2003_SGHC_89.pdf,"['evidence', 'land', 'family law']"
2003_SGHC_9.pdf,"['evidence', 'land']"
2003_SGHC_90.pdf,"['evidence', 'banking']"
2003_SGHC_91.pdf,"['bailment', 'contract', 'evidence', 'damages', 'land', 'commercial transactions']"
2003_SGHC_92.pdf,"['companies', 'contract', 'evidence', 'land']"
2003_SGHC_93.pdf,"['contract', 'evidence', 'tort']"
2003_SGHC_94.pdf,"['evidence', 'land', 'family law']"
2003_SGHC_95.pdf,"['criminal law', 'evidence']"
2003_SGHC_96.pdf,"['civil procedure', 'evidence', 'damages', 'equity', 'tort']"
2003_SGHC_97.pdf,"['companies', 'contract', 'evidence', 'damages']"
2003_SGHC_98.pdf,"['companies', 'contract', 'evidence', 'banking', 'equity', 'land', 'legal profession']"
2003_SGHC_99.pdf,"['injunctions', 'contract', 'evidence', 'damages', 'land', 'family law']"
2004_SGCA_1.pdf,"['criminal law', 'contract', 'evidence', 'land']"
2004_SGCA_10.pdf,"['civil procedure', 'evidence', 'damages', 'land']"
2004_SGCA_11.pdf,"['arbitration', 'contract', 'evidence', 'damages']"
2004_SGCA_12.pdf,"['companies', 'contract', 'evidence', 'equity', 'land']"
2004_SGCA_13.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'land', 'confidence']"
2004_SGCA_14.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'equity', 'agency']"
2004_SGCA_15.pdf,['civil procedure']
2004_SGCA_16.pdf,"['civil procedure', 'arbitration']"
2004_SGCA_17.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGCA_18.pdf,"['companies', 'contract', 'evidence']"
2004_SGCA_19.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'land']"
2004_SGCA_2.pdf,"['criminal law', 'words and phrases', 'evidence', 'land']"
2004_SGCA_20.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'equity']"
2004_SGCA_21.pdf,"['evidence', 'administrative law']"
2004_SGCA_22.pdf,"['civil procedure', 'damages', 'tort']"
2004_SGCA_23.pdf,"['companies', 'insurance', 'contract', 'evidence', 'damages', 'land']"
2004_SGCA_24.pdf,"['companies', 'contract']"
2004_SGCA_25.pdf,"['civil procedure', 'arbitration', 'land']"
2004_SGCA_26.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'damages', 'land']"
2004_SGCA_27.pdf,"['companies', 'evidence', 'family law', 'legal profession']"
2004_SGCA_28.pdf,"['civil procedure', 'contract', 'evidence']"
2004_SGCA_29.pdf,"['civil procedure', 'companies', 'words and phrases', 'contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGCA_3.pdf,"['evidence', 'land']"
2004_SGCA_30.pdf,"['arbitration', 'contract']"
2004_SGCA_31.pdf,"['civil procedure', 'damages', 'tort']"
2004_SGCA_32.pdf,"['criminal law', 'evidence', 'land']"
2004_SGCA_33.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'banking', 'tort']"
2004_SGCA_34.pdf,"['civil procedure', 'damages']"
2004_SGCA_35.pdf,"['companies', 'contract', 'equity', 'land', 'agency']"
2004_SGCA_36.pdf,"['criminal law', 'evidence']"
2004_SGCA_37.pdf,"['contract', 'evidence', 'damages', 'equity', 'land']"
2004_SGCA_38.pdf,"['civil procedure', 'courts and jurisdiction', 'evidence', 'banking']"
2004_SGCA_39.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGCA_4.pdf,"['contract', 'evidence', 'banking', 'land', 'agency']"
2004_SGCA_40.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'tort']"
2004_SGCA_41.pdf,"['civil procedure', 'contract', 'evidence', 'tort']"
2004_SGCA_42.pdf,"['admiralty and shipping', 'contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGCA_43.pdf,"['contract', 'evidence', 'tort', 'land', 'agency']"
2004_SGCA_44.pdf,"['civil procedure', 'contract', 'evidence', 'banking', 'tort']"
2004_SGCA_45.pdf,"['conflict of laws', 'arbitration', 'contract', 'evidence', 'land']"
2004_SGCA_46.pdf,['criminal procedure and sentencing']
2004_SGCA_47.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land', 'constitutional law', 'statutory interpretation']"
2004_SGCA_48.pdf,"['civil procedure', 'companies', 'words and phrases', 'contract', 'evidence', 'equity', 'land']"
2004_SGCA_49.pdf,"['insolvency law', 'companies', 'evidence', 'damages', 'banking', 'gifts']"
2004_SGCA_5.pdf,['land']
2004_SGCA_50.pdf,"['evidence', 'land']"
2004_SGCA_51.pdf,"['criminal law', 'companies', 'evidence']"
2004_SGCA_52.pdf,"['insurance', 'contract', 'evidence', 'trusts', 'damages']"
2004_SGCA_53.pdf,"['criminal law', 'evidence']"
2004_SGCA_54.pdf,"['insurance', 'contract', 'evidence', 'equity', 'tort', 'land']"
2004_SGCA_55.pdf,"['insolvency law', 'companies', 'evidence', 'damages']"
2004_SGCA_56.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land']"
2004_SGCA_57.pdf,"['admiralty and shipping', 'evidence', 'damages', 'tort', 'land', 'statutory interpretation']"
2004_SGCA_58.pdf,"['civil procedure', 'damages']"
2004_SGCA_6.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'land']"
2004_SGCA_7.pdf,"['criminal law', 'criminal procedure and sentencing', 'companies', 'evidence', 'land']"
2004_SGCA_8.pdf,"['contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGCA_9.pdf,['civil procedure']
2004_SGHC_1.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort', 'confidence']"
2004_SGHC_10.pdf,['criminal procedure and sentencing']
2004_SGHC_100.pdf,"['evidence', 'damages']"
2004_SGHC_101.pdf,"['civil procedure', 'companies', 'evidence', 'trusts', 'equity', 'tort']"
2004_SGHC_102.pdf,"['civil procedure', 'companies']"
2004_SGHC_103.pdf,"['res judicata', 'trusts', 'land', 'gifts', 'succession and wills']"
2004_SGHC_104.pdf,"['contract', 'evidence', 'res judicata', 'tort', 'land']"
2004_SGHC_105.pdf,"['civil procedure', 'arbitration', 'contract', 'evidence', 'damages']"
2004_SGHC_106.pdf,"['insolvency law', 'banking']"
2004_SGHC_107.pdf,"['contract', 'evidence', 'damages', 'equity', 'building and construction law']"
2004_SGHC_108.pdf,"['insolvency law', 'companies', 'contract', 'evidence', 'land']"
2004_SGHC_109.pdf,"['arbitration', 'words and phrases', 'insurance', 'contract', 'damages', 'tort', 'land']"
2004_SGHC_11.pdf,"['criminal procedure and sentencing', 'evidence', 'damages', 'intellectual property']"
2004_SGHC_110.pdf,"['contract', 'evidence', 'damages', 'designs', 'land']"
2004_SGHC_111.pdf,"['courts and jurisdiction', 'evidence', 'administrative law']"
2004_SGHC_112.pdf,"['contract', 'evidence', 'damages', 'banking', 'equity', 'land', 'immigration', 'confidence']"
2004_SGHC_113.pdf,"['criminal law', 'criminal procedure and sentencing']"
2004_SGHC_114.pdf,"['injunctions', 'banking', 'land', 'family law']"
2004_SGHC_115.pdf,"['civil procedure', 'injunctions', 'companies', 'evidence', 'damages', 'tort', 'land']"
2004_SGHC_116.pdf,"['contract', 'evidence', 'building and construction law']"
2004_SGHC_117.pdf,"['credit and security', 'companies', 'contract', 'evidence', 'banking', 'land', 'agency']"
2004_SGHC_118.pdf,[]
2004_SGHC_119.pdf,"['criminal procedure and sentencing', 'evidence', 'designs', 'land']"
2004_SGHC_12.pdf,"['evidence', 'damages']"
2004_SGHC_120.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land']"
2004_SGHC_121.pdf,['evidence']
2004_SGHC_122.pdf,"['criminal law', 'criminal procedure and sentencing', 'companies', 'evidence', 'trusts', 'land', 'restitution', 'confidence']"
2004_SGHC_123.pdf,"['insolvency law', 'companies', 'contract', 'evidence', 'tort', 'land', 'commercial transactions']"
2004_SGHC_124.pdf,"['contract', 'evidence', 'trusts', 'equity', 'land']"
2004_SGHC_125.pdf,"['civil procedure', 'conflict of laws', 'words and phrases', 'contract', 'damages', 'tort', 'land']"
2004_SGHC_126.pdf,"['insurance', 'contract', 'evidence', 'gifts']"
2004_SGHC_127.pdf,"['civil procedure', 'companies', 'words and phrases', 'evidence', 'administrative law', 'land', 'professions', 'confidence']"
2004_SGHC_128.pdf,"['criminal law', 'criminal procedure and sentencing', 'contract', 'evidence', 'land', 'gifts', 'agency']"
2004_SGHC_129.pdf,"['companies', 'insurance', 'contract', 'land', 'agency']"
2004_SGHC_13.pdf,"['criminal law', 'criminal procedure and sentencing']"
2004_SGHC_130.pdf,"['civil procedure', 'insurance', 'damages']"
2004_SGHC_131.pdf,"['civil procedure', 'evidence', 'trusts', 'land', 'gifts']"
2004_SGHC_132.pdf,"['contract', 'evidence', 'damages', 'land', 'agency']"
2004_SGHC_133.pdf,"['arbitration', 'insolvency law', 'companies']"
2004_SGHC_134.pdf,"['civil procedure', 'contract', 'evidence', 'banking']"
2004_SGHC_135.pdf,"['criminal law', 'evidence', 'land']"
2004_SGHC_136.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_137.pdf,"['criminal procedure and sentencing', 'companies', 'evidence', 'agency']"
2004_SGHC_138.pdf,"['contract', 'evidence', 'land']"
2004_SGHC_139.pdf,"['bailment', 'carriage of goods by air and land', 'companies', 'contract', 'evidence', 'tort', 'land']"
2004_SGHC_14.pdf,"['criminal law', 'evidence', 'agency']"
2004_SGHC_140.pdf,"['civil procedure', 'companies', 'evidence', 'trusts', 'banking', 'equity', 'land']"
2004_SGHC_141.pdf,"['companies', 'contract', 'evidence', 'banking', 'equity']"
2004_SGHC_142.pdf,"['contract', 'evidence', 'banking', 'tort', 'land']"
2004_SGHC_143.pdf,"['contract', 'evidence', 'damages', 'tort']"
2004_SGHC_144.pdf,"['civil procedure', 'contract', 'evidence']"
2004_SGHC_145.pdf,"['evidence', 'damages']"
2004_SGHC_146.pdf,"['contract', 'evidence', 'damages', 'land']"
2004_SGHC_147.pdf,"['insurance', 'evidence', 'damages', 'road traffic']"
2004_SGHC_148.pdf,"['insurance', 'contract', 'evidence', 'damages', 'land', 'limitation of actions', 'confidence']"
2004_SGHC_149.pdf,"['credit and security', 'contract', 'evidence', 'damages', 'banking', 'equity', 'tort', 'land', 'agency', 'confidence']"
2004_SGHC_15.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_150.pdf,"['companies', 'contract', 'evidence', 'damages', 'equity', 'tort', 'restitution']"
2004_SGHC_151.pdf,"['insolvency law', 'contract', 'banking']"
2004_SGHC_152.pdf,"['civil procedure', 'evidence']"
2004_SGHC_153.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_154.pdf,"['criminal law', 'evidence', 'tort', 'land']"
2004_SGHC_155.pdf,"['civil procedure', 'contract', 'evidence', 'banking', 'tort', 'land', 'restitution']"
2004_SGHC_156.pdf,"['criminal procedure and sentencing', 'evidence', 'damages', 'agency']"
2004_SGHC_157.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'tort', 'land', 'building and construction law', 'confidence']"
2004_SGHC_158.pdf,"['companies', 'insurance', 'contract', 'evidence', 'damages', 'equity', 'land']"
2004_SGHC_159.pdf,"['conflict of laws', 'insurance', 'contract', 'evidence', 'land']"
2004_SGHC_16.pdf,"['criminal procedure and sentencing', 'evidence', 'immigration']"
2004_SGHC_160.pdf,"['civil procedure', 'contract', 'evidence', 'tort', 'land']"
2004_SGHC_161.pdf,"['contract', 'evidence']"
2004_SGHC_162.pdf,"['contract', 'evidence', 'agency', 'charities', 'confidence']"
2004_SGHC_163.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'designs', 'confidence']"
2004_SGHC_164.pdf,"['criminal procedure and sentencing', 'tort', 'land']"
2004_SGHC_165.pdf,"['injunctions', 'companies', 'contract', 'evidence', 'damages', 'banking', 'land', 'choses in action']"
2004_SGHC_166.pdf,"['civil procedure', 'evidence', 'trusts', 'damages', 'equity', 'land']"
2004_SGHC_167.pdf,"['civil procedure', 'evidence', 'damages', 'tort', 'land']"
2004_SGHC_168.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort', 'land', 'confidence']"
2004_SGHC_169.pdf,"['civil procedure', 'contract']"
2004_SGHC_17.pdf,"['criminal law', 'criminal procedure and sentencing', 'companies', 'evidence', 'restitution', 'confidence']"
2004_SGHC_170.pdf,"['civil procedure', 'damages', 'land']"
2004_SGHC_171.pdf,"['criminal law', 'evidence', 'land']"
2004_SGHC_172.pdf,"['criminal law', 'land', 'immigration']"
2004_SGHC_173.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'damages', 'immigration']"
2004_SGHC_174.pdf,"['civil procedure', 'injunctions', 'companies', 'insurance', 'contract', 'evidence', 'damages', 'equity', 'agency']"
2004_SGHC_175.pdf,"['criminal procedure and sentencing', 'companies', 'contract', 'evidence', 'immigration', 'agency']"
2004_SGHC_176.pdf,"['contract', 'evidence']"
2004_SGHC_177.pdf,['family law']
2004_SGHC_178.pdf,"['civil procedure', 'injunctions', 'contract', 'evidence', 'tort']"
2004_SGHC_179.pdf,"['civil procedure', 'injunctions', 'contract', 'damages']"
2004_SGHC_18.pdf,"['criminal law', 'evidence']"
2004_SGHC_180.pdf,"['evidence', 'land', 'legal profession']"
2004_SGHC_181.pdf,"['companies', 'evidence', 'banking', 'land', 'gifts', 'commercial transactions']"
2004_SGHC_182.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_183.pdf,"['contract', 'land']"
2004_SGHC_184.pdf,"['civil procedure', 'evidence', 'equity', 'land']"
2004_SGHC_185.pdf,"['contract', 'evidence', 'damages', 'banking', 'tort']"
2004_SGHC_186.pdf,"['criminal law', 'criminal procedure and sentencing', 'insurance', 'evidence']"
2004_SGHC_187.pdf,"['civil procedure', 'courts and jurisdiction', 'res judicata', 'banking', 'legal profession']"
2004_SGHC_188.pdf,"['civil procedure', 'evidence']"
2004_SGHC_189.pdf,"['equity', 'land']"
2004_SGHC_19.pdf,"['criminal law', 'insurance', 'evidence', 'damages', 'tort', 'land', 'road traffic']"
2004_SGHC_190.pdf,"['civil procedure', 'contract', 'evidence']"
2004_SGHC_191.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'banking', 'land']"
2004_SGHC_192.pdf,"['companies', 'evidence', 'damages', 'land']"
2004_SGHC_193.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_194.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'equity', 'land']"
2004_SGHC_195.pdf,['companies']
2004_SGHC_196.pdf,"['criminal procedure and sentencing', 'arbitration', 'contract', 'evidence', 'administrative law']"
2004_SGHC_197.pdf,"['companies', 'evidence', 'land']"
2004_SGHC_198.pdf,"['admiralty and shipping', 'evidence', 'damages']"
2004_SGHC_199.pdf,"['criminal procedure and sentencing', 'companies', 'insurance']"
2004_SGHC_2.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'employment law', 'land']"
2004_SGHC_20.pdf,"['companies', 'words and phrases', 'evidence']"
2004_SGHC_200.pdf,"['criminal law', 'insurance', 'land', 'legal profession', 'restitution']"
2004_SGHC_201.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_202.pdf,"['criminal law', 'evidence', 'land']"
2004_SGHC_203.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_204.pdf,"['arbitration', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_205.pdf,"['criminal law', 'criminal procedure and sentencing', 'companies', 'tort', 'land']"
2004_SGHC_206.pdf,"['civil procedure', 'companies', 'insurance', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_207.pdf,"['evidence', 'damages']"
2004_SGHC_208.pdf,"['criminal procedure and sentencing', 'land']"
2004_SGHC_209.pdf,"['civil procedure', 'evidence', 'damages']"
2004_SGHC_21.pdf,"['companies', 'insurance', 'evidence', 'damages']"
2004_SGHC_210.pdf,"['evidence', 'charities']"
2004_SGHC_211.pdf,"['insurance', 'contract', 'evidence', 'damages']"
2004_SGHC_212.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'agency']"
2004_SGHC_213.pdf,"['companies', 'evidence', 'banking', 'legal profession', 'confidence']"
2004_SGHC_214.pdf,"['contract', 'damages', 'banking', 'land']"
2004_SGHC_215.pdf,"['companies', 'contract', 'evidence', 'damages', 'tort', 'gifts', 'confidence']"
2004_SGHC_216.pdf,['family law']
2004_SGHC_217.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'tort', 'land', 'agency']"
2004_SGHC_218.pdf,"['contract', 'evidence', 'damages', 'tort']"
2004_SGHC_219.pdf,"['contract', 'evidence', 'damages', 'banking', 'land']"
2004_SGHC_22.pdf,"['arbitration', 'insurance', 'contract', 'evidence', 'damages', 'tort', 'gifts']"
2004_SGHC_220.pdf,"['contract', 'evidence', 'res judicata', 'damages', 'land']"
2004_SGHC_221.pdf,"['credit and security', 'contract', 'evidence', 'banking', 'equity']"
2004_SGHC_222.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'banking', 'land']"
2004_SGHC_223.pdf,"['arbitration', 'insurance', 'contract', 'damages', 'building and construction law']"
2004_SGHC_224.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land']"
2004_SGHC_225.pdf,"['companies', 'evidence', 'damages', 'tort']"
2004_SGHC_226.pdf,"['civil procedure', 'contract', 'evidence']"
2004_SGHC_227.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'land', 'constitutional law']"
2004_SGHC_228.pdf,"['civil procedure', 'trusts']"
2004_SGHC_229.pdf,"['evidence', 'damages', 'land']"
2004_SGHC_23.pdf,"['insolvency law', 'companies', 'contract', 'evidence', 'banking', 'equity', 'gifts']"
2004_SGHC_230.pdf,"['evidence', 'damages', 'tort', 'land', 'agency', 'road traffic']"
2004_SGHC_231.pdf,"['bailment', 'insurance', 'contract', 'evidence', 'damages', 'tort']"
2004_SGHC_232.pdf,"['insolvency law', 'companies', 'evidence']"
2004_SGHC_233.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_234.pdf,"['civil procedure', 'contract', 'evidence', 'land']"
2004_SGHC_235.pdf,"['contract', 'evidence', 'land']"
2004_SGHC_236.pdf,"['civil procedure', 'companies', 'insurance', 'evidence', 'damages', 'equity', 'land']"
2004_SGHC_237.pdf,"['civil procedure', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_238.pdf,"['criminal procedure and sentencing', 'evidence', 'land']"
2004_SGHC_239.pdf,"['companies', 'damages', 'banking', 'legal profession']"
2004_SGHC_24.pdf,"['evidence', 'damages', 'agency']"
2004_SGHC_240.pdf,"['insolvency law', 'credit and security', 'companies', 'contract', 'evidence', 'damages', 'banking', 'land', 'choses in action']"
2004_SGHC_241.pdf,"['contract', 'evidence', 'damages']"
2004_SGHC_242.pdf,"['civil procedure', 'evidence', 'land', 'family law']"
2004_SGHC_243.pdf,"['civil procedure', 'arbitration', 'insurance', 'contract', 'evidence', 'banking']"
2004_SGHC_244.pdf,['criminal procedure and sentencing']
2004_SGHC_245.pdf,"['insurance', 'contract', 'evidence', 'damages', 'building and construction law', 'agency']"
2004_SGHC_246.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence', 'immigration']"
2004_SGHC_247.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_248.pdf,"['criminal procedure and sentencing', 'contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGHC_249.pdf,"['criminal procedure and sentencing', 'land']"
2004_SGHC_25.pdf,"['insolvency law', 'companies', 'equity', 'land', 'confidence']"
2004_SGHC_250.pdf,"['insurance', 'damages', 'legal profession', 'restitution', 'confidence']"
2004_SGHC_251.pdf,"['insolvency law', 'companies', 'insurance', 'contract', 'evidence', 'equity']"
2004_SGHC_252.pdf,['legal profession']
2004_SGHC_253.pdf,"['evidence', 'damages', 'equity', 'tort']"
2004_SGHC_254.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'agency']"
2004_SGHC_255.pdf,"['insurance', 'contract', 'evidence', 'damages']"
2004_SGHC_256.pdf,"['contract', 'evidence', 'damages', 'land', 'road traffic']"
2004_SGHC_257.pdf,"['arbitration', 'damages', 'choses in action']"
2004_SGHC_258.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'land']"
2004_SGHC_259.pdf,"['contract', 'evidence']"
2004_SGHC_26.pdf,"['arbitration', 'contract', 'evidence', 'damages']"
2004_SGHC_260.pdf,"['civil procedure', 'arbitration', 'contract', 'damages', 'land']"
2004_SGHC_261.pdf,"['companies', 'courts and jurisdiction', 'evidence', 'trusts', 'equity']"
2004_SGHC_262.pdf,"['injunctions', 'contract', 'damages', 'tort', 'land']"
2004_SGHC_263.pdf,"['conflict of laws', 'injunctions', 'insurance', 'contract', 'evidence', 'damages', 'designs', 'tort', 'land']"
2004_SGHC_264.pdf,"['evidence', 'damages', 'designs', 'intellectual property']"
2004_SGHC_265.pdf,"['contract', 'evidence', 'trusts']"
2004_SGHC_266.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'banking', 'equity', 'agency', 'confidence']"
2004_SGHC_267.pdf,"['companies', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_268.pdf,"['evidence', 'damages']"
2004_SGHC_269.pdf,"['civil procedure', 'companies', 'contract', 'designs', 'banking']"
2004_SGHC_27.pdf,"['insurance', 'evidence', 'damages']"
2004_SGHC_270.pdf,"['companies', 'contract', 'evidence', 'land', 'intellectual property']"
2004_SGHC_271.pdf,"['criminal law', 'evidence']"
2004_SGHC_272.pdf,"['contract', 'damages', 'land']"
2004_SGHC_273.pdf,"['insolvency law', 'companies', 'land']"
2004_SGHC_274.pdf,"['companies', 'evidence', 'damages', 'equity', 'tort', 'land', 'road traffic']"
2004_SGHC_275.pdf,"['evidence', 'family law']"
2004_SGHC_276.pdf,"['companies', 'revenue law', 'contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGHC_277.pdf,"['evidence', 'debt and recovery']"
2004_SGHC_278.pdf,"['contract', 'employment law']"
2004_SGHC_279.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGHC_28.pdf,"['contract', 'evidence', 'damages', 'road traffic']"
2004_SGHC_280.pdf,"['evidence', 'damages']"
2004_SGHC_281.pdf,"['arbitration', 'insolvency law', 'companies', 'words and phrases', 'contract', 'evidence', 'banking', 'equity', 'land']"
2004_SGHC_29.pdf,"['evidence', 'damages', 'tort', 'road traffic']"
2004_SGHC_3.pdf,"['evidence', 'trusts', 'equity', 'land', 'family law']"
2004_SGHC_30.pdf,"['conflict of laws', 'companies', 'evidence', 'banking', 'land', 'agency']"
2004_SGHC_31.pdf,"['contract', 'evidence', 'damages', 'equity', 'land']"
2004_SGHC_32.pdf,"['admiralty and shipping', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_33.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_34.pdf,"['contract', 'evidence', 'building and construction law']"
2004_SGHC_35.pdf,"['insurance', 'damages', 'equity', 'legal profession', 'restitution', 'road traffic']"
2004_SGHC_36.pdf,['legal profession']
2004_SGHC_37.pdf,"['evidence', 'damages', 'road traffic']"
2004_SGHC_38.pdf,"['companies', 'insurance', 'contract', 'evidence', 'damages', 'banking', 'land']"
2004_SGHC_39.pdf,"['criminal procedure and sentencing', 'evidence']"
2004_SGHC_4.pdf,"['criminal procedure and sentencing', 'evidence', 'land', 'immigration']"
2004_SGHC_40.pdf,"['companies', 'contract', 'evidence', 'land', 'agency']"
2004_SGHC_41.pdf,"['civil procedure', 'companies', 'damages', 'confidence']"
2004_SGHC_42.pdf,"['evidence', 'land', 'immigration']"
2004_SGHC_43.pdf,"['evidence', 'damages', 'road traffic']"
2004_SGHC_44.pdf,"['criminal law', 'criminal procedure and sentencing', 'evidence']"
2004_SGHC_45.pdf,"['conflict of laws', 'contract', 'evidence', 'damages', 'tort']"
2004_SGHC_46.pdf,"['criminal law', 'evidence', 'land']"
2004_SGHC_47.pdf,"['civil procedure', 'insurance', 'contract', 'evidence', 'damages', 'tort', 'land']"
2004_SGHC_48.pdf,"['evidence', 'road traffic']"
2004_SGHC_49.pdf,"['insolvency law', 'companies', 'contract', 'evidence', 'land']"
2004_SGHC_5.pdf,"['evidence', 'damages', 'tort', 'intellectual property']"
2004_SGHC_50.pdf,"['criminal procedure and sentencing', 'words and phrases', 'contract', 'evidence', 'trusts']"
2004_SGHC_51.pdf,['legal profession']
2004_SGHC_52.pdf,"['criminal law', 'criminal procedure and sentencing', 'courts and jurisdiction', 'evidence', 'land', 'gifts']"
2004_SGHC_53.pdf,"['insurance', 'evidence', 'damages', 'tort']"
2004_SGHC_54.pdf,"['criminal procedure and sentencing', 'evidence', 'constitutional law', 'statutory interpretation']"
2004_SGHC_55.pdf,"['civil procedure', 'companies', 'contract', 'evidence', 'damages', 'tort']"
2004_SGHC_56.pdf,"['evidence', 'damages']"
2004_SGHC_57.pdf,"['criminal law', 'evidence', 'land']"
2004_SGHC_58.pdf,"['evidence', 'family law']"
2004_SGHC_59.pdf,"['civil procedure', 'evidence', 'damages', 'tort']"
2004_SGHC_6.pdf,"['contract', 'evidence', 'legal profession']"
2004_SGHC_60.pdf,"['civil procedure', 'conflict of laws', 'companies', 'insurance', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_61.pdf,"['companies', 'insurance', 'contract', 'evidence', 'damages', 'land']"
2004_SGHC_62.pdf,"['contract', 'evidence', 'damages']"
2004_SGHC_63.pdf,"['companies', 'contract', 'evidence', 'damages', 'banking', 'land']"
2004_SGHC_64.pdf,"['civil procedure', 'conflict of laws', 'contract', 'land']"
2004_SGHC_65.pdf,"['words and phrases', 'evidence', 'land', 'succession and wills']"
2004_SGHC_66.pdf,"['companies', 'contract', 'evidence']"
2004_SGHC_67.pdf,"['criminal law', 'evidence', 'confidence']"
2004_SGHC_68.pdf,"['criminal procedure and sentencing', 'evidence', 'banking', 'gifts', 'restitution', 'confidence']"
2004_SGHC_69.pdf,"['civil procedure', 'companies', 'contract', 'damages', 'equity', 'land', 'building and construction law', 'restitution']"
